Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
131,A,Yangon,Normal,Female,Food and beverages,40.12,6,12.03,252.75,1/8/2019,14:05,Credit card,240.72,4.76,12.03,9.5
132,C,Naypyitaw,Member,Male,Home and lifestyle,92.34,4,18.46,387.82,2/5/2019,16:05,Ewallet,369.36,4.76,18.46,5.1
133,B,Mandalay,Member,Female,Sports and travel,55.67,7,19.48,409.16,3/18/2019,11:12,Cash,389.69,4.76,19.48,8.8
134,A,Yangon,Normal,Male,Health and beauty,67.89,5,16.97,356.42,1/12/2019,20:33,Ewallet,339.45,4.76,16.97,4.2
135,C,Naypyitaw,Member,Female,Electronic accessories,49.50,8,19.80,415.80,2/22/2019,13:08,Credit card,396.0,4.76,19.80,7.3
136,A,Yangon,Normal,Female,Fashion accessories,84.56,3,12.68,266.36,3/25/2019,13:19,Cash,253.68,4.76,12.68,9.2
137,B,Mandalay,Normal,Male,Food and beverages,38.76,6,11.62,244.18,1/30/2019,10:46,Ewallet,232.56,4.76,11.62,5.6
138,C,Naypyitaw,Member,Male,Home and lifestyle,79.12,5,19.78,415.38,2/12/2019,14:05,Cash,395.6,4.76,19.78,8.9
139,A,Yangon,Member,Female,Sports and travel,62.45,4,12.49,262.29,3/8/2019,16:05,Credit card,249.8,4.76,12.49,4.5
140,B,Mandalay,Normal,Male,Health and beauty,51.23,7,17.93,376.54,1/18/2019,11:12,Ewallet,358.61,4.76,17.93,7.9
141,A,Yangon,Normal,Female,Electronic accessories,90.45,3,13.56,284.91,2/2/2019,20:33,Cash,271.35,4.76,13.56,9.8
142,C,Naypyitaw,Member,Male,Fashion accessories,44.67,6,13.40,281.42,3/15/2019,13:08,Ewallet,268.02,4.76,13.40,5.2
143,B,Mandalay,Normal,Female,Food and beverages,88.12,4,17.62,370.10,1/22/2019,13:19,Credit card,352.48,4.76,17.62,8.4
144,A,Yangon,Member,Male,Home and lifestyle,35.89,8,14.35,301.47,2/20/2019,10:46,Cash,287.12,4.76,14.35,4.7
145,C,Naypyitaw,Member,Female,Sports and travel,73.56,5,18.39,386.19,3/28/2019,14:05,Ewallet,367.8,4.76,18.39,9.3
146,B,Mandalay,Normal,Male,Health and beauty,59.34,6,17.80,373.84,1/5/2019,16:05,Cash,356.04,4.76,17.80,6.5
147,A,Yangon,Normal,Female,Electronic accessories,82.45,4,16.49,346.29,2/14/2019,11:12,Credit card,329.8,4.76,16.49,8.1
148,C,Naypyitaw,Member,Male,Fashion accessories,47.89,7,16.76,351.99,3/10/2019,20:33,Ewallet,335.23,4.76,16.76,5.8
149,B,Mandalay,Member,Female,Food and beverages,96.23,3,14.43,303.12,1/15/2019,13:08,Cash,288.69,4.76,14.43,9.7
150,A,Yangon,Normal,Male,Home and lifestyle,31.45,5,7.86,165.11,2/25/2019,13:19,Ewallet,157.25,4.76,7.86,4.1
